,bill_id,status,state,state_id,bill_number,bill_type,bill_type_id,body,body_id,current_body,current_body_id,title,description
0,1735700,1,MA,21,S386,B,1,S,52,S,52,Relative to disclosing continuing care retirement community entrance fees,For legislation relative to disclosing continuing care retirement community entrance fees. Elder Affairs.
1,1879555,1,MA,21,H4660,B,1,H,51,H,51,Similar Bills,Similar Bills
2,1739848,1,MA,21,H2392,B,1,H,51,H,51,Relative to the return of firearms,Relative to the return of firearms stored at private businesses. Public Safety and Homeland Security.
3,1737219,1,MA,21,S1998,B,1,S,52,S,52,To SAVE tax dollars in the Commonwealth,For legislation to SAVE tax dollars in the Commonwealth. State Administration and Regulatory Oversight.
4,1775753,1,MA,21,H4030,B,1,H,51,H,51,Relative to public comments and open meeting law,Relative to public comments and open meeting law. State Administration and Regulatory Oversight.
5,1735745,1,MA,21,S624,B,1,S,52,S,52,To encourage retirement planning,For legislation to encourage retirement planning. Financial Services.
6,1739841,1,MA,21,H2865,B,1,H,51,H,51,Relative to the sales tax,Relative to the sales tax for certain purchases by rental companies. Revenue.
7,1738645,1,MA,21,H617,B,1,H,51,H,51,Protecting the rights of assisted living residents,Relative to protecting the rights of assisted living residents. Elder Affairs.
8,1733805,1,MA,21,S590,B,1,S,52,S,52,Prohibiting the sale of fur products,For legislation to prohibit the sale of fur products. Environment and Natural Resources.
9,1885450,1,MA,21,H4969,B,1,H,51,H,51,Similar Bills,Similar Bills
10,1738694,1,MA,21,H396,B,1,H,51,H,51,"In relation to prohibiting price gouging with respect to goods, services and supplies during a declared public health emergency","Relative to prohibiting price gouging of goods, services and supplies during a declared public health emergency. Consumer Protection and Professional Licensure."
11,1737074,1,MA,21,S1718,B,1,S,52,S,52,Relative to corrections officers injured in the line of duty,For legislation relative to corrections officers injured in the line of duty. Public Service.
12,1884093,1,MA,21,H4821,B,1,H,51,H,51,Providing the next of kin of a police officer or firefighter killed in the line of duty with the flags of the Commonwealth and the United States,Providing the next of kin of a police officer or firefighter killed in the line of duty with the flags of the Commonwealth and the United States
13,1885773,2,MA,21,H4991,B,1,H,51,H,51,Authorizing the city of Revere to grant two additional licenses for the sale of all alcoholic beverages not to be drunk on the premises,Authorizing the city of Revere to grant two additional licenses for the sale of all alcoholic beverages not to be drunk on the premises
14,1750732,1,MA,21,H3589,B,1,H,51,H,51,Concerning the legalization of certain natural plants and fungi,Relative to the legalization of certain natural plants and fungi. The Judiciary.
15,1741605,1,MA,21,H2836,B,1,H,51,H,51,Relative to a sewage line tax credit,Relative to a sewage line tax credit. Revenue.
16,1742019,1,MA,21,H2768,B,1,H,51,H,51,Relative to embarkation fees,Relative to the imposition of embarkation fees from ferry services operated within the Hyannis Fire District. Revenue.
17,1735589,1,MA,21,S968,B,1,S,52,S,52,Reforming alimony in the Commonwealth,For legislation to reform alimony in the Commonwealth. The Judiciary.
18,1736889,1,MA,21,S2331,B,1,S,52,S,52,Relative to reimbursement to armed service members,For legislation relative to reimbursement to armed service members. Veterans and Federal Affairs.
19,1844259,1,MA,21,S2630,B,1,S,52,S,52,"Order relative to authorizing the joint committee on Consumer Protection and Professional Licensure, to make an investigation and study of certain current Senate documents relative to consumer protection and professional licensure matters","For legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislation to amend section 5 of chapter 270 of the Acts of 1985, as amended, to authorize delegation by general by-law of all select board licensing authority, report the accompanying Order (Senate, No. 2630)."
20,1735925,1,MA,21,S1260,B,1,S,52,S,52,Expanding access to trauma informed care and mental health first aid training,"For legislation to expand access to trauma informed care and mental health first aid training. Mental Health, Substance Use and Recovery."
21,1742427,1,MA,21,H2905,B,1,H,51,H,51,Relative to charges associated with condominiums in tax title,Relative to charges associated with condominiums in tax title. Revenue.
22,1740195,1,MA,21,H2153,B,1,H,51,H,51,To promote economic opportunity by licensing home kitchens,Relative to the licensing of home kitchens. Public Health.
23,1739763,1,MA,21,H1806,B,1,H,51,H,51,Ensuring the enforcement of mandatory minimums for firearm related crimes,Relative to the enforcement of mandatory minimum sentences for firearm related crimes. The Judiciary.
24,1739053,1,MA,21,H23,B,1,H,51,H,51,Relative to the definition of wages for retirement calculations,"So much of the recommendations of the Teachers' Retirement System (House, No. 16) as relates to the definition of wages for retirement calculations. Public Service."
25,1740179,1,MA,21,H1376,B,1,H,51,H,51,Relative to cimex lectularius,"Relative to tenant and owner responsibilities for bed bugs, so called, in dwelling units. Housing."
26,1735779,1,MA,21,S1335,B,1,S,52,S,52,Updating the regulations governing licensed birth centers in Massachusetts,For legislation to update the regulations governing licensed birth centers in Massachusetts. Public Health.
