source,target,weight
2403,2404,3059
2403,2435,3132
2403,2445,766
2403,2463,3051
2403,2471,3063
2403,2506,3059
2403,2510,3040
2403,2531,3202
2403,2552,3059
2403,2555,3057
2403,2560,3061
2403,2566,3073
2403,2567,3074
2403,2572,3085
2403,12439,3061
2403,13058,3071
2403,13110,3060
2403,16183,3025
2403,16207,3097
2403,16256,3048
2403,17662,3059
2403,19195,3059
2403,19410,3059
2403,19433,3069
2403,21064,3059
2403,21126,3032
2403,21127,3055
2403,21141,3001
2403,21648,3059
2403,22739,3059
2403,22841,3057
2403,22842,3020
2403,23059,3056
2403,24765,3056
2403,24769,3059
2403,2577,3233
2403,13105,2939
2403,17963,3177
2403,2576,217
2403,2390,31
2403,2391,30
2403,2394,32
2403,2395,31
2403,2396,28
2403,2405,31
2403,2422,32
2403,2434,32
2403,2440,28
2403,2441,27
2403,2442,32
2403,2443,29
2403,2444,28
2403,2449,32
2403,2451,30
2403,2456,32
2403,2457,30
2403,2459,28
2403,2464,31
2403,2472,32
2403,2476,32
2403,2478,32
2403,2480,32
2403,2481,32
2403,2483,32
2403,2488,32
2403,2491,31
2403,2497,26
2403,2501,32
2403,2507,24
2403,2519,28
2403,2526,31
2403,12427,28
2403,12436,24
2403,12442,28
2403,12454,28
2403,12455,28
2403,12461,32
2403,13053,32
2403,13059,29
2403,13064,31
2403,13106,32
2403,13111,31
2403,13112,32
2403,13113,32
2403,13114,28
2403,13116,21
2403,13123,32
2403,13877,32
2403,13969,29
2403,16186,32
2403,16187,12
2403,16188,32
2403,16189,32
2403,16191,31
2403,16192,22
2403,16196,27
2403,16197,32
2403,16199,31
2403,16202,29
2403,16203,32
2403,17644,29
2403,17645,32
2403,17646,32
2403,17647,31
2403,17648,26
2403,17649,28
2403,17650,27
2403,17652,28
2403,17653,32
2403,17655,25
2403,17656,31
2403,17657,32
2403,17659,30
2403,17660,32
2403,17661,27
2403,17708,32
2403,17871,32
2403,17960,32
2403,17962,32
2403,17971,32
2403,17989,28
2403,19185,28
2403,19188,29
2403,19191,28
2403,19192,32
2403,19193,29
2403,19194,32
2403,19304,32
2403,19306,31
2403,19442,28
2403,19443,32
2403,19623,31
2403,21065,32
2403,21129,30
2403,21130,30
2403,21131,31
2403,21132,32
2403,21135,30
2403,21136,32
2403,21137,24
2403,21138,30
2403,21139,32
2403,21142,32
2403,21143,25
2403,21145,32
2403,21147,27
2403,21148,26
2403,21149,30
2403,21150,32
2403,21280,28
2403,21638,32
2403,21656,30
2403,21657,28
2403,22681,27
2403,22730,32
2403,22731,32
2403,22732,32
2403,22733,32
2403,22734,32
2403,22735,32
2403,22736,32
2403,22737,29
2403,22738,32
2403,22740,32
2403,22741,27
2403,22742,32
2403,22743,32
2403,22744,32
2403,22745,23
2403,22912,31
2403,24754,32
2403,24755,32
2403,24756,30
2403,24757,32
2403,24758,31
2403,24759,32
2403,24760,32
2403,24761,32
2403,24762,32
2403,24763,32
2403,24764,32
2403,24766,32
2403,24767,30
2403,24768,30
2403,24770,32
2403,24771,32
2403,24772,30
2403,24773,30
2403,24774,26
2403,24775,32
2403,24776,25
2403,24777,32
2403,13317,1659
2403,2493,26
2403,2528,27
2403,16194,26
2403,19189,30
2403,24947,28
2403,24948,28
2403,25189,14
2404,2435,3194
2404,2445,766
2404,2463,3091
2404,2471,3113
2404,2506,3119
2404,2510,3100
2404,2531,3204
2404,2552,3119
2404,2555,3097
2404,2560,3111
2404,2566,3091
2404,2567,3104
2404,2572,3093
2404,12439,3111
2404,13058,3081
2404,13110,3118
2404,16183,3085
2404,16207,3149
2404,16256,3108
2404,17662,3119
2404,19195,3119
2404,19410,3119
2404,19433,3109
2404,21064,3119
2404,21126,3080
2404,21127,3115
2404,21141,3061
2404,21648,3119
2404,22739,3119
2404,22841,3107
2404,22842,3078
2404,23059,3116
2404,24765,3116
2404,24769,3119
2404,2577,3267
2404,13105,2973
2404,17963,3201
2404,2576,224
2404,2390,30
2404,2391,31
2404,2394,31
2404,2395,30
2404,2396,29
2404,2405,30
2404,2422,31
2404,2434,31
2404,2440,29
2404,2441,26
2404,2442,31
2404,2443,30
2404,2444,29
2404,2449,31
2404,2451,31
2404,2456,31
2404,2457,29
2404,2459,29
2404,2464,30
2404,2472,31
2404,2476,31
2404,2478,31
2404,2480,31
2404,2481,31
2404,2483,31
2404,2488,31
2404,2491,30
2404,2497,25
2404,2501,31
2404,2507,24
2404,2519,29
2404,2526,30
2404,12427,29
2404,12436,25
2404,12442,29
2404,12454,29
2404,12455,29
2404,12461,31
2404,13053,31
2404,13059,30
2404,13064,30
2404,13106,31
